id,equipment,number,capacity,muscle_groups,remark
0,treadmill,9,1,,
1,rowing machine,4,1,,
2,upright bike,2,1,,
3,elliptical machine,3,1,,
4,bench,7,1,,
5,squat machine,1,1,,
6,leg press and hack squat machine,1,1,,
7,standing calf,1,1,,
8,abdominal machine,1,1,,
9,spin machine,5,1,,
10,biceps curl,1,1,,
11,rear delt_pec fly,2,1,,
12,multi press machine,1,1,,
13,inner_outer thigh,2,1,,
14,leg press_calf extension,1,1,,
15,lying leg curl,1,1,,
16,pulldown_seated row,1,1,,
17,functional trainer,2,2,,
18,olympic bench,3,1,,
19,preacher curl slate,1,1,,
20,leg extension,1,1,,
21,leg curl,1,1,,
22,rotary torso,1,1,,
23,triceps extension,1,1,,
24,lateral raise,1,1,,
25,lat pulldown,1,1,,
26,shoulder press,2,1,,
27,booty builder 7,1,1,,
28,multi-purpose squat rack,4,1,,
29,large dumbbell rack,2,6,,
30,vertical dumbbell rack,1,5,,
31,free standing space saving modular rig,1,3,,
32,precor multu gym s3.45-upper body,1,1,,"can do: lat pull-downs, seated rows, bicep curls and back extensions"
33,precor multu gym s3.45-lower body,1,1,,"can do:leg extension, leg press"
34,precor multu gym s3.45-back and core,1,1,,can do: preacher curl / roman chair
35,chin/dip assist,1,1,,
36,incline chest press,3,1,,
37,seated row,1,1,,
38,incline lever row,1,1,,
39,puzzle mat,8,1,,
40,barbell lifter,2,1,,
